variety,condition,sentence_type,item,nsyll,npause,dur (s),phonationtime (s),speech_rate,articulation_rate,avg_syll_dur
Andalusian,match,declarative-broad-focus,Ana-lleva-el-abrigo,6,0,1.35,1.35,4.45,4.45,0.225
Andalusian,match,declarative-broad-focus,Daniel-iba-a-Bolivia,6,0,1.46,1.46,4.11,4.11,0.243
Andalusian,match,declarative-broad-focus,David-leia-el-libro,7,0,1.43,1.43,4.9,4.9,0.204
Andalusian,match,declarative-broad-focus,Emilio-ama-la-marcha,4,0,1.27,1.27,3.16,3.16,0.317
Andalusian,match,declarative-broad-focus,Manuela-vende-el-carro,2,0,1.25,1.25,1.61,1.61,0.623
Andalusian,match,declarative-broad-focus,Maria-bebe-el-vino,3,0,1.11,1.11,2.71,2.71,0.369
Andalusian,match,declarative-broad-focus,Mariano-habla-del-tiempo,4,0,1.57,1.57,2.54,2.54,0.393
Andalusian,match,declarative-broad-focus,Marta-abre-el-regalo,5,0,1.39,1.39,3.6,3.6,0.278
Andalusian,match,declarative-narrow-focus,Ana-lleva-el-abrigo,7,0,1.29,1.29,5.44,5.44,0.184
Andalusian,match,declarative-narrow-focus,Daniel-iba-a-Bolivia,5,0,1.31,1.31,3.81,3.81,0.262
Andalusian,match,declarative-narrow-focus,David-leia-el-libro,5,0,1.45,1.45,3.45,3.45,0.29
Andalusian,match,declarative-narrow-focus,Emilio-ama-la-marcha,4,0,1.48,1.48,2.71,2.71,0.369
Andalusian,match,declarative-narrow-focus,Manuela-vende-el-carro,4,0,1.45,1.45,2.76,2.76,0.362
Andalusian,match,declarative-narrow-focus,Maria-bebe-el-vino,6,0,1.34,1.34,4.47,4.47,0.224
Andalusian,match,declarative-narrow-focus,Mariano-habla-del-tiempo,5,0,1.64,1.64,3.05,3.05,0.327
Andalusian,match,declarative-narrow-focus,Marta-abre-el-regalo,5,0,1.45,1.45,3.45,3.45,0.29
Andalusian,match,interrogative-partial-wh,Cuando-bebia-el-vino,5,0,1.27,1.27,3.94,3.94,0.254
Andalusian,match,interrogative-partial-wh,Cuando-leia-el-libro,5,0,1.31,1.31,3.81,3.81,0.263
Andalusian,match,interrogative-partial-wh,Cuando-lleva-el-abrigo,5,0,1.21,1.21,4.15,4.15,0.241
Andalusian,match,interrogative-partial-wh,Cuando-vendia-el-carro,6,0,1.3,1.3,4.62,4.62,0.217
Andalusian,match,interrogative-partial-wh,Por-que-abre-el-regalo,5,0,1.21,1.21,4.15,4.15,0.241
Andalusian,match,interrogative-partial-wh,Por-que-ama-la-navidad,5,0,1.33,1.33,3.77,3.77,0.265
Andalusian,match,interrogative-partial-wh,Por-que-hablaba-del-agua,3,0,1.27,1.27,2.36,2.36,0.424
Andalusian,match,interrogative-partial-wh,Por-que-iba-a-Bolivia,5,0,1.23,1.23,4.06,4.06,0.247
Andalusian,match,interrogative-total-yn,Ana-lleva-el-abrigo,6,0,1.22,1.22,4.92,4.92,0.203
Andalusian,match,interrogative-total-yn,Daniel-iba-a-Bolivia,6,0,1.34,1.34,4.48,4.48,0.223
Andalusian,match,interrogative-total-yn,David-leia-el-libro,5,0,1.25,1.25,4.01,4.01,0.249
Andalusian,match,interrogative-total-yn,Emilio-ama-la-marcha,5,0,1.38,1.38,3.62,3.62,0.276
Andalusian,match,interrogative-total-yn,Manuela-vende-el-carro,5,0,1.33,1.33,3.77,3.77,0.265
Andalusian,match,interrogative-total-yn,Maria-bebe-el-vino,4,0,1.15,1.15,3.47,3.47,0.288
Andalusian,match,interrogative-total-yn,Mariano-habla-del-tiempo,5,0,1.6,1.6,3.13,3.13,0.319
Andalusian,match,interrogative-total-yn,Marta-abre-el-regalo,4,0,1.26,1.26,3.18,3.18,0.315
Andalusian,mismatch,declarative-broad-focus,El-bebe-comia-muy-bien,7,0,1.33,1.33,5.28,5.28,0.19
Andalusian,mismatch,declarative-broad-focus,El-hombre-mira-la-luna,3,0,1.25,1.25,2.41,2.41,0.415
Andalusian,mismatch,declarative-broad-focus,El-nino-oye-el-rio,3,0,1.33,1.33,2.26,2.26,0.442
Andalusian,mismatch,declarative-broad-focus,La-maestra-vive-en-Paris,6,0,1.44,1.44,4.17,4.17,0.24
Andalusian,mismatch,declarative-broad-focus,La-nina-lava-el-plato,4,0,1.21,1.21,3.32,3.32,0.301
Andalusian,mismatch,declarative-broad-focus,Mi-madre-come-la-fruta,7,0,1.31,1.31,5.33,5.33,0.188
Andalusian,mismatch,declarative-broad-focus,Mi-novio-viene-del-lago,5,0,1.48,1.48,3.39,3.39,0.295
Andalusian,mismatch,declarative-broad-focus,Mi-tia-odia-la-lluvia,5,0,1.36,1.36,3.67,3.67,0.273
Andalusian,mismatch,declarative-narrow-focus,El-bebe-comia-muy-bien,6,0,1.31,1.31,4.57,4.57,0.219
Andalusian,mismatch,declarative-narrow-focus,El-hombre-mira-la-luna,6,0,1.33,1.33,4.5,4.5,0.222
Andalusian,mismatch,declarative-narrow-focus,El-nino-oye-el-rio,3,0,1.26,1.26,2.38,2.38,0.42
Andalusian,mismatch,declarative-narrow-focus,La-maestra-vive-en-Paris,7,0,1.19,1.19,5.89,5.89,0.17
Andalusian,mismatch,declarative-narrow-focus,La-nina-lava-el-plato,4,0,1.41,1.41,2.85,2.85,0.351
Andalusian,mismatch,declarative-narrow-focus,Mi-madre-come-la-fruta,7,0,1.38,1.04,5.07,6.71,0.149
Andalusian,mismatch,declarative-narrow-focus,Mi-novio-viene-del-lago,6,0,1.21,1.21,4.96,4.96,0.202
Andalusian,mismatch,declarative-narrow-focus,Mi-tia-odia-la-lluvia,6,0,1.36,1.36,4.4,4.4,0.227
Andalusian,mismatch,interrogative-partial-wh,Cuando-comia-la-fruta,4,0,1.45,1.45,2.76,2.76,0.362
Andalusian,mismatch,interrogative-partial-wh,Cuando-lavaba-el-plato,5,0,1.28,1.28,3.9,3.9,0.256
Andalusian,mismatch,interrogative-partial-wh,Cuando-miraba-la-luna,2,0,1.33,1.33,1.51,1.51,0.664
Andalusian,mismatch,interrogative-partial-wh,Por-que-desayuna-muy-bien,5,0,1.4,1.4,3.57,3.57,0.28
Andalusian,mismatch,interrogative-partial-wh,Por-que-odiaba-la-lluvia,5,0,1.31,1.31,3.81,3.81,0.262
Andalusian,mismatch,interrogative-partial-wh,Por-que-oia-el-rio,5,0,1.27,1.27,3.93,3.93,0.254
